Date,Open,High,Low,Close,Volume,Volume Quote,Market,Instrument,Total Index
2025-11-18,131.07687245865,142.178467314655,129.199298485737,140.812923487367,35606594.7017682,4880827930.7831,cadli,SOL-USD,162178
2025-11-17,137.463102393425,142.867755133021,129.033518576145,131.07687245865,35598378.034084,4849497388.66491,cadli,SOL-USD,173466
2025-11-16,139.782731808933,143.461271479881,134.583248400541,137.463102393425,21299810.3845148,2953764932.95591,cadli,SOL-USD,295838
2025-11-15,139.177980534183,144.710562826493,138.861572099659,139.782731808933,15596377.9311558,2211832383.67233,cadli,SOL-USD,340351
2025-11-14,144.891763931079,145.786544585558,136.075731415183,139.177980534183,40992596.9403779,5793308888.32737,cadli,SOL-USD,102671
2025-11-13,153.559895453082,157.254377020259,141.379088491441,144.891763931079,32001221.3312382,4803362723.58063,cadli,SOL-USD,172242
2025-11-12,154.767709571121,161.198463565107,151.404736598717,153.559895453082,24820276.0932613,3872887520.04767,cadli,SOL-USD,283858
2025-11-11,167.398298172762,171.922360459124,154.227954542659,154.767709571121,25213331.0720331,4112506319.66516,cadli,SOL-USD,141625
2025-11-10,164.607250934209,170.478086614116,163.599761030131,167.398298172762,21609254.6662587,3617194431.67178,cadli,SOL-USD,153708
2025-11-09,157.993753802283,166.470863724536,155.248541554018,164.607250934209,17283892.7242466,2784491412.26313,cadli,SOL-USD,324481
2025-11-08,161.885858513114,164.948011187645,156.066412868786,157.993753802283,14803482.9180021,2369159065.97911,cadli,SOL-USD,246231
2025-11-07,155.396225710921,164.466354032787,150.120613525793,161.885858513114,27207242.4569386,4280517623.32905,cadli,SOL-USD,113979
2025-11-06,162.712925865808,163.093193598449,153.69095026342,155.396225710921,23061443.0411911,3651553985.72665,cadli,SOL-USD,238904
2025-11-05,155.408153497924,164.226464875882,147.598052596559,162.712925865808,30610808.2411732,4829698565.80727,cadli,SOL-USD,224706
2025-11-04,166.37414987368,168.682142093313,146.8722726487,155.408153497924,50100094.4833626,7916145288.34881,cadli,SOL-USD,60131
2025-11-03,188.016010164916,189.194526636815,163.786637751514,166.37414987368,39216525.1493999,6780595281.96058,cadli,SOL-USD,60354
2025-11-02,186.687152175068,188.541042736326,182.30476002395,188.016010164916,10302868.4670769,1911931641.04848,cadli,SOL-USD,266450
2025-11-01,187.396329299762,187.613623453077,184.106597691141,186.687152175068,8963505.42966668,1669842141.23419,cadli,SOL-USD,297829
2025-10-31,184.711691867373,190.311261126867,183.852396925539,187.396329299762,19723517.6099389,3684453669.26876,cadli,SOL-USD,146568
2025-10-30,194.233566449078,198.437020089758,178.874794191585,184.711691867373,29533463.8618062,5560404831.84334,cadli,SOL-USD,69903
2025-10-29,194.518132148192,201.915207829008,191.10585173724,194.233566449078,27444969.9341046,5380114884.56086,cadli,SOL-USD,137469
2025-10-28,198.932380358978,204.11322745698,191.410958866806,194.518132148192,26423238.2847844,5254304409.03227,cadli,SOL-USD,175397
2025-10-27,200.279327462215,205.436180265336,197.734598828081,198.932380358978,21267056.6389789,4286863367.04122,cadli,SOL-USD,147171
2025-10-26,193.876661254961,201.603470942315,192.093345427866,200.279327462215,15040318.8163558,2972950507.44524,cadli,SOL-USD,337330
2025-10-25,193.897194353661,195.490392500649,191.778464415992,193.876661254961,9960897.39454146,1929696316.96408,cadli,SOL-USD,431387
2025-10-24,191.686704710396,195.914118859902,189.218010565975,193.897194353661,19482372.3186003,3753754406.18285,cadli,SOL-USD,267295
2025-10-23,180.141937629341,193.702266305432,179.768930452353,191.686704710396,21305734.1296135,4020878918.00466,cadli,SOL-USD,223664
2025-10-22,185.718119919527,187.430261876985,177.446570771357,180.141937629341,25025246.3765413,4584978833.90226,cadli,SOL-USD,79679
2025-10-21,189.77587332083,197.962164797916,182.943443406851,185.718119919527,27419655.7831651,5207435057.27995,cadli,SOL-USD,211103
2025-10-20,188.025620316157,194.54380288107,184.050337495307,189.77587332083,19513288.7232042,3708221667.38602,cadli,SOL-USD,405784
2025-10-19,187.666843097693,192.306078984816,183.375657609678,188.025620316157,15555654.8788461,2932241275.43751,cadli,SOL-USD,538261
2025-10-18,182.074509810809,188.302416005904,181.948480257862,187.666843097693,13297277.1894982,2467119980.46816,cadli,SOL-USD,569481
2025-10-17,184.889155106836,187.533605059599,174.360567118096,182.074509810809,35284412.0597529,6390663493.5074,cadli,SOL-USD,280572
2025-10-16,193.934200351994,198.262574762249,182.191955030087,184.889155106836,32739473.5062729,6251641245.23316,cadli,SOL-USD,241615
2025-10-15,202.97611605982,208.717776200197,192.295146202735,193.934200351994,30339372.1322923,6089364608.66456,cadli,SOL-USD,261993
