Date,Open,High,Low,Close,Volume,Volume Quote,Market,Instrument,Total Index
2025-11-08,512.103381021448,515.326527999765,486.6069917873,496.084354510877,199032.237387093,99477191.5582264,cadli,BCH-USD,92468
2025-11-07,473.194868773199,520.576109945596,471.09030830119,512.103381021448,924706.000279253,451988162.51112,cadli,BCH-USD,82762
2025-11-06,490.583098337643,490.761223105681,465.533693204221,473.194868773199,221103.947769483,105628298.4091,cadli,BCH-USD,93606
2025-11-05,481.414134770958,495.304744077404,461.918630361875,490.583098337643,278064.391199475,134844458.396613,cadli,BCH-USD,90354
2025-11-04,506.924627298563,513.409706422213,462.667987013868,481.414134770958,554493.48194151,273611934.740206,cadli,BCH-USD,51974
2025-11-03,537.759436865537,537.789886476929,500.450192882456,506.924627298563,516386.582550603,268813994.718012,cadli,BCH-USD,55347
2025-11-02,555.10815243774,556.710747872193,524.052665016857,537.759436865537,374124.931735829,202227652.716744,cadli,BCH-USD,121874
2025-11-01,536.73129490773,561.120387366991,533.162065462606,555.10815243774,367030.467403257,202693633.80475,cadli,BCH-USD,134277
2025-10-31,541.504430053454,564.721953944496,534.36476101736,536.73129490773,590133.223825483,325501130.920774,cadli,BCH-USD,91875
2025-10-30,556.824969664346,576.082346904889,528.549872685681,541.504430053454,755933.103241336,417534352.30296,cadli,BCH-USD,60172
2025-10-29,558.233196406941,566.784303196793,549.910301489102,556.824969664346,680758.561941625,380400031.814377,cadli,BCH-USD,83949
2025-10-28,556.051409639766,570.877273850763,551.12697676791,558.233196406941,876790.390334743,490832630.206417,cadli,BCH-USD,99872
2025-10-27,559.52489610824,571.543987768228,554.030224405384,556.051409639766,789108.871077509,442402244.956135,cadli,BCH-USD,87446
2025-10-26,508.239336788501,564.449804822549,508.221012856968,559.52489610824,803521.528766031,432961252.45971,cadli,BCH-USD,170000
2025-10-25,503.380725529595,511.567771361193,497.827378105477,508.239336788501,519244.395926448,263059490.141364,cadli,BCH-USD,166214
2025-10-24,480.792973475223,507.157282539564,479.021083214448,503.380725529595,550353.941047794,272633320.558219,cadli,BCH-USD,102899
2025-10-23,473.526262603313,491.163396329616,473.07958832827,480.792973475223,1032032.91423816,499919392.089066,cadli,BCH-USD,113991
2025-10-22,481.246250119523,484.403671976352,464.985400945185,473.526262603313,509488.35039405,242023908.38583,cadli,BCH-USD,62079
2025-10-21,479.126813551614,515.074077709697,464.436533656035,481.246250119523,897491.20765558,434633719.940093,cadli,BCH-USD,96018
2025-10-20,473.167018502428,486.240695413784,467.900913123295,479.126813551614,554177.068516934,266373601.795067,cadli,BCH-USD,131798
2025-10-19,468.67498059938,478.574597042489,457.862704157975,473.167018502428,492387.833494815,231339372.400311,cadli,BCH-USD,159639
2025-10-18,470.137597943253,479.416262698621,463.925987067423,468.67498059938,401577.903936128,189217839.523514,cadli,BCH-USD,155118
2025-10-17,504.906433088756,510.130977907404,448.114951526613,470.137597943253,910635.946169084,430072447.384336,cadli,BCH-USD,107294
2025-10-16,522.629511941345,528.667489633371,502.180318497336,504.906433088756,464931.257235416,240168856.292333,cadli,BCH-USD,90874
2025-10-15,539.012778790908,545.589506628441,519.709418821623,522.629511941345,418515.021862228,222379930.707927,cadli,BCH-USD,90805
2025-10-14,547.476381796271,548.023851738456,509.384859053121,539.012778790908,902408.983220177,475559489.802911,cadli,BCH-USD,89532
2025-10-13,541.434191386345,550.436605728552,535.552641763935,547.476381796271,474568.846106219,257798655.381934,cadli,BCH-USD,85238
2025-10-12,500.645410139475,546.018685685508,496.611900329562,541.434191386345,553657.757979696,290621469.496219,cadli,BCH-USD,109806
2025-10-11,514.982172431207,540.317095444293,479.628093011901,500.645410139475,779322.329878504,403656422.69358,cadli,BCH-USD,79314
2025-10-10,580.675977298655,599.135919660126,484.064680470894,514.982172431207,1170408.00888145,648439899.255533,cadli,BCH-USD,107485
2025-10-09,583.533920405983,592.439999472109,570.708975292472,580.675977298655,402259.771843495,232606565.196376,cadli,BCH-USD,120234
2025-10-08,576.912808137764,587.784645405372,574.511907586817,583.533920405983,331037.431799531,192297174.42296,cadli,BCH-USD,111546
2025-10-07,599.182434266902,599.992222910019,575.394350002162,576.912808137764,439233.48169624,257982244.076284,cadli,BCH-USD,113828
2025-10-06,594.684148426696,606.400060912408,593.178910452538,599.182434266902,339767.783150852,203970084.119055,cadli,BCH-USD,116784
2025-10-05,590.543565867552,610.916125861667,588.275488042065,594.684148426696,413769.234019743,248131675.400631,cadli,BCH-USD,159942
2025-10-04,608.892647477533,609.304557091575,585.344877075642,590.543565867552,377399.584873798,223793821.142973,cadli,BCH-USD,171483
2025-10-03,594.766518717281,615.870377386317,591.265053986089,608.892647477533,506699.061747074,305171217.128778,cadli,BCH-USD,143738
2025-10-02,593.176265481947,597.162834378599,582.245836338644,594.766518717281,556839.029957831,328585774.162542,cadli,BCH-USD,136971
2025-10-01,560.438218511366,596.053391332084,559.917471654057,593.176265481947,538325.378456363,312865685.55183,cadli,BCH-USD,145945
2025-09-30,561.547289394344,563.380345678591,549.913457846512,560.438218511366,412174.272465138,229352503.717251,cadli,BCH-USD,134470
2025-09-29,556.876225710939,563.445553093852,550.793196368078,561.547289394344,388426.663464974,216655666.613334,cadli,BCH-USD,130003
2025-09-28,544.418907978745,558.43765288749,536.482006845447,556.876225710939,326757.061357649,177765207.029317,cadli,BCH-USD,174907
2025-09-27,548.730519050349,548.749203846415,541.075949646879,544.418907978745,227481.221263627,123805209.069873,cadli,BCH-USD,149924
2025-09-26,536.959728379797,550.612395887721,535.680198206412,548.730519050349,397551.780343038,216238675.606347,cadli,BCH-USD,130613
2025-09-25,556.676682923231,557.724585565395,535.580603485935,536.959728379797,505155.182810288,276388952.877997,cadli,BCH-USD,118857
2025-09-24,557.398541293541,563.570990070666,552.002853855131,556.676682923231,310642.595763028,173567294.530586,cadli,BCH-USD,151674
2025-09-23,568.162061534396,570.253581769061,554.643639768147,557.398541293541,436006.726908312,244858449.071286,cadli,BCH-USD,136746
2025-09-22,594.160630359757,594.820594718561,562.353831039871,568.162061534396,499814.588931127,286850576.690183,cadli,BCH-USD,107864
2025-09-21,595.032456859112,602.228335376101,594.1599073328,594.160630359757,255524.619232723,152698386.480504,cadli,BCH-USD,143600
2025-09-20,600.994372065962,606.674118465295,594.530974923224,595.032456859112,287472.270436933,172978055.68956,cadli,BCH-USD,170402
2025-09-19,624.497081098882,631.946977597341,598.809420882043,600.994372065962,469096.844535918,286535386.690754,cadli,BCH-USD,148231
2025-09-18,616.817554305263,650.193832219461,613.355117387983,624.497081098882,771501.63935455,489400309.623469,cadli,BCH-USD,155544
2025-09-17,598.928411098185,625.513820920367,591.487296756563,616.817554305263,464686.106396727,280388510.091141,cadli,BCH-USD,123411
2025-09-16,593.933085297149,601.949708020791,589.758899317618,598.928411098185,268164.566034956,159688264.530611,cadli,BCH-USD,122566
2025-09-15,601.300189781338,604.705473151766,588.755103435604,593.933085297149,410669.262745323,245096363.429798,cadli,BCH-USD,124466
2025-09-14,598.672952659854,603.038798478441,588.51544416661,601.300189781338,365465.401062147,217740669.628542,cadli,BCH-USD,144572
2025-09-13,598.714132738231,605.25424397652,594.46583604061,598.672952659854,349007.087180031,209472748.58476,cadli,BCH-USD,125696
2025-09-12,596.386880122857,601.615677959901,587.906530356284,598.714132738231,399483.440132508,237436831.592261,cadli,BCH-USD,120680
2025-09-11,580.926869112092,601.918292422216,576.751618000258,596.386880122857,626554.790338187,371572215.480881,cadli,BCH-USD,169161
2025-09-10,580.803367416029,590.240123309907,577.584332247789,580.926869112092,387700.178884112,225973675.352466,cadli,BCH-USD,147680
2025-09-09,588.505682505597,590.577268586088,575.582755627008,580.803367416029,413111.792321686,241056410.295304,cadli,BCH-USD,143379
2025-09-08,603.419595209237,605.966399394735,585.876054957945,588.505682505597,535896.410598076,318427727.658214,cadli,BCH-USD,197463
2025-09-07,595.619376173079,606.759607611689,593.763173863643,603.419595209237,230509.697562113,138581345.66344,cadli,BCH-USD,212161
2025-09-06,606.949991305281,616.802766947594,584.626255421692,595.619376173079,612758.997331678,366845843.435619,cadli,BCH-USD,308694
2025-09-05,586.805123700224,620.487782598341,585.177487676074,606.949991305281,864176.709432711,521926075.11488,cadli,BCH-USD,251286
2025-09-04,603.669714321706,604.461657486463,584.026963287675,586.805123700224,392364.345148245,231158336.831386,cadli,BCH-USD,210642
2025-09-03,584.841512440622,605.091724424566,578.928956297886,603.669714321706,798804.902887177,476261590.835199,cadli,BCH-USD,305700
2025-09-02,545.152721994594,585.89807059745,543.865834519462,584.841512440622,623268.989927228,356110589.4258,cadli,BCH-USD,216345
2025-09-01,544.74461764748,551.828956440279,530.482398017112,545.152721994594,355924.85930776,192854492.66333,cadli,BCH-USD,153207
2025-08-31,553.004041783782,554.57495606762,542.806489203393,544.74461764748,202890.005875339,111424346.626327,cadli,BCH-USD,173782
2025-08-30,531.274685323737,554.116370398845,524.712276554435,553.004041783782,289031.431848121,155491816.552525,cadli,BCH-USD,177533
2025-08-29,558.147342301245,559.80321867243,528.929924711807,531.274685323737,567676.968639004,307318619.117363,cadli,BCH-USD,154476
2025-08-28,550.414895342368,565.554838925929,548.966604758048,558.147342301245,205503.251049583,114392481.634843,cadli,BCH-USD,126106
2025-08-27,551.016020794655,562.600611951955,544.733068011784,550.414895342368,369535.786383773,205019566.28365,cadli,BCH-USD,157970
2025-08-26,544.540239045246,554.378049772955,533.073205815924,551.016020794655,404392.483337846,219633763.675447,cadli,BCH-USD,139241
2025-08-25,583.719790065781,587.720258007628,537.600808071181,544.540239045246,379803.965735197,214445512.276267,cadli,BCH-USD,106057
2025-08-24,591.165813175402,599.738193323426,583.554461091813,583.719790065781,263325.606644725,156025500.017227,cadli,BCH-USD,127686
2025-08-23,599.420011650501,601.011936820542,584.346692445291,591.165813175402,268665.654169635,158609517.492494,cadli,BCH-USD,140612
2025-08-22,554.727706331599,607.554119875539,551.797806483984,599.420011650501,504917.617355779,295185019.848599,cadli,BCH-USD,136651
2025-08-21,560.903224623067,564.68448934412,550.997696409984,554.727706331599,205782.514943513,114577490.224831,cadli,BCH-USD,121491
2025-08-20,548.653067661757,562.710401805327,544.282857046107,560.903224623067,243190.455912227,134618937.786347,cadli,BCH-USD,68253
2025-08-19,569.411718616079,573.757275690975,548.243566595826,548.653067661757,253936.317097815,142420491.233754,cadli,BCH-USD,64916
2025-08-18,582.614857900336,582.796221154002,561.827934310119,569.411718616079,274808.960753824,156462486.576743,cadli,BCH-USD,64640
2025-08-17,587.812168869039,592.176247983523,581.349713900672,582.614857900336,183024.02186471,107468867.17501,cadli,BCH-USD,111577
2025-08-16,593.167051861147,598.026582037498,577.819408889865,587.812168869039,169935.463314361,100056135.165478,cadli,BCH-USD,101283
2025-08-15,593.665567976948,601.876958283782,581.396518775385,593.167051861147,265975.536036358,157459228.304124,cadli,BCH-USD,70620
2025-08-14,615.924086659645,626.295655903906,583.004236104191,593.665567976948,584176.183882416,352749733.216031,cadli,BCH-USD,60299
2025-08-13,618.19670159566,630.300310245183,601.428299225711,615.924086659645,702982.175456503,433443155.250489,cadli,BCH-USD,63359
2025-08-12,578.467148228206,625.163070258585,578.419273195538,618.19670159566,769617.033663472,463354575.11508,cadli,BCH-USD,96174
2025-08-11,570.006561780831,596.641129731394,569.343222302797,578.467148228206,682604.610194766,398715602.938164,cadli,BCH-USD,83923
2025-08-10,566.455063052066,582.226268539214,559.437775113306,570.006561780831,445396.897058102,254429597.870704,cadli,BCH-USD,106726
2025-08-09,585.717086477892,591.384311001544,566.139153806215,566.455063052066,368919.422435756,212916709.951187,cadli,BCH-USD,119964
2025-08-08,582.130059687309,588.631937053778,573.286766381129,585.717086477892,408148.555340855,236919826.77348,cadli,BCH-USD,110513
2025-08-07,571.22008308899,584.906389854328,567.833277496545,582.130059687309,1024420.82259848,590600080.069696,cadli,BCH-USD,140862
2025-08-06,551.975950420913,573.282734796916,548.194731585165,571.22008308899,377995.725478599,212642743.808361,cadli,BCH-USD,140984
2025-08-05,574.441132268492,583.801629662354,542.132749429403,551.975950420913,606599.269576322,342761850.019692,cadli,BCH-USD,129047
2025-08-04,544.733096654856,579.241408613647,544.732600062392,574.441132268492,508491.463252093,286837688.452181,cadli,BCH-USD,141120
2025-08-03,520.635958917139,547.822566535853,515.310359563649,544.733096654856,253086.36332877,135794148.133359,cadli,BCH-USD,166692
2025-08-02,535.946956987698,543.778784591486,518.687352593368,520.635958917139,307377.557533101,164006952.049073,cadli,BCH-USD,108916
2025-08-01,561.653857572619,571.880833672257,529.473906072644,535.946956987698,586374.348346626,324365090.645738,cadli,BCH-USD,63933
2025-07-31,589.875607651129,596.581422077831,560.851901688692,561.653857572619,546305.703957474,315622168.185721,cadli,BCH-USD,93372
2025-07-30,564.034856120972,594.230096536672,553.510573815754,589.875607651129,552102.999470154,315778531.054784,cadli,BCH-USD,93101
2025-07-29,571.999848907371,585.9776871091,560.412285269671,564.034856120972,496608.171731021,283634624.288923,cadli,BCH-USD,98074
2025-07-28,589.247840616895,604.287031363122,569.220796682938,571.999848907371,796518.000420356,467425967.551901,cadli,BCH-USD,95298
2025-07-27,558.831621551453,605.321676565924,555.778593594187,589.247840616895,963504.93269846,565539120.022006,cadli,BCH-USD,183623
2025-07-26,556.676174511521,562.48132438178,551.4099882908,558.831621551453,350787.993557981,195036501.79543,cadli,BCH-USD,162860
2025-07-25,512.760681190125,562.596767514294,509.84856886241,556.676174511521,1211271.41987942,652737411.346559,cadli,BCH-USD,89600
2025-07-24,512.150006074603,527.486653445595,491.098555316036,512.760681190125,908104.876776285,467750855.102153,cadli,BCH-USD,90705
2025-07-23,525.890691345523,529.46570814154,500.231582927449,512.150006074603,610554.465256462,315397611.115272,cadli,BCH-USD,83730
2025-07-22,522.634062560777,532.578540760173,511.780387477452,525.890691345523,635659.743250105,330481463.826478,cadli,BCH-USD,74070
2025-07-21,547.550865946453,547.997181239248,517.135100435696,522.634062560777,1031197.58703433,545466945.707991,cadli,BCH-USD,94907
2025-07-20,513.391644407696,553.147562348209,511.080147888957,547.550865946453,748131.930159887,401846477.152599,cadli,BCH-USD,127621
2025-07-19,514.112896895773,520.647512177055,501.79524620236,513.391644407696,434698.824113329,222105092.331346,cadli,BCH-USD,138833
2025-07-18,499.355788605316,539.698150874809,498.971792054345,514.112896895773,959688.283231409,501047824.905827,cadli,BCH-USD,91526
2025-07-17,498.421114608059,504.122588263122,487.270390042232,499.355788605316,476053.413826648,236068216.393569,cadli,BCH-USD,101479
2025-07-16,497.372536160743,507.641466085583,491.517322262957,498.421114608059,450536.092976353,225054481.845836,cadli,BCH-USD,105838
2025-07-15,504.721233026632,505.259699562437,482.343147787683,497.372536160743,427852.095898885,210015496.92826,cadli,BCH-USD,92831
2025-07-14,507.645145491888,525.661709883959,498.763895945874,504.721233026632,507316.455871059,259126647.464167,cadli,BCH-USD,91918
2025-07-13,506.060948711985,512.620225582446,501.633611325657,507.645145491888,396234.446277245,200977417.323764,cadli,BCH-USD,148250
2025-07-12,530.714995001247,534.128614819111,502.151815387635,506.060948711985,487717.748389761,251327977.604227,cadli,BCH-USD,143678
2025-07-11,517.839522391882,537.301599027939,513.841834261591,530.714995001247,674832.588240768,355150490.7277,cadli,BCH-USD,77319
2025-07-10,514.351841426085,520.167149434365,502.547510329824,517.839522391882,577931.145000482,296195687.597202,cadli,BCH-USD,119161
2025-07-09,501.061137285711,516.154099374801,500.06577529678,514.351841426085,491459.576265323,249470253.504286,cadli,BCH-USD,181536
2025-07-08,496.395597041302,505.709077186247,494.402704840575,501.061137285711,345356.829226252,172871919.870407,cadli,BCH-USD,190480
2025-07-07,491.760951054095,499.903541083473,488.648321243446,496.395597041302,305348.915086462,151194422.620064,cadli,BCH-USD,184201
2025-07-06,489.575014919959,499.8843163093,483.203803947735,491.760951054095,234030.258368515,114933251.344604,cadli,BCH-USD,231268
2025-07-05,484.263329137205,489.762478038372,481.189250347459,489.575014919959,214964.691956897,104252290.7471,cadli,BCH-USD,253474
2025-07-04,496.596145081752,496.706602661191,470.114326987751,484.263329137205,442181.375028962,214219087.762282,cadli,BCH-USD,258023
2025-07-03,510.81583533114,514.968522355349,491.772235061783,496.596145081752,532923.087524964,267764927.705624,cadli,BCH-USD,190512
2025-07-02,500.869114756067,512.10831056991,499.652997697133,510.81583533114,458172.217411795,231522539.784204,cadli,BCH-USD,158466
2025-07-01,506.132465866172,527.37443053723,499.785435817205,500.869114756067,747617.9748283,387391117.135167,cadli,BCH-USD,204931
2025-06-30,504.379659744914,520.626950698132,488.811228718681,506.132465866172,596084.228344731,301401600.819077,cadli,BCH-USD,171760
2025-06-29,491.405058674933,507.615704552292,488.717282267523,504.379659744914,376894.355991246,186494571.550632,cadli,BCH-USD,260222
2025-06-28,505.183526099194,505.273398501505,487.458506156096,491.405058674933,345732.734865992,171397833.083291,cadli,BCH-USD,296555
2025-06-27,489.71769786239,508.856677268339,485.402498063822,505.183526099194,621797.697094044,310032661.376756,cadli,BCH-USD,267883
2025-06-26,483.175751339263,506.105311965653,482.303052176702,489.71769786239,669780.048644561,331068804.525539,cadli,BCH-USD,236011
2025-06-25,454.246973414164,494.848041915102,454.141200027597,483.175751339263,977149.140663736,468570114.670453,cadli,BCH-USD,277199
2025-06-24,463.516411222622,467.372611057437,449.608642444925,454.246973414164,523837.345160507,240128352.437722,cadli,BCH-USD,187522
2025-06-23,455.648218954115,469.626209175232,438.465016124925,463.516411222622,681027.053502174,309475495.826548,cadli,BCH-USD,152051
2025-06-22,467.302731451273,470.488503708941,437.971090126282,455.648218954115,1052610.12385219,479325096.04745,cadli,BCH-USD,151336
2025-06-21,474.183784860855,478.002255488777,458.62958605998,467.302731451273,470883.028361613,221479382.461689,cadli,BCH-USD,221038
2025-06-20,497.611848938483,500.673913232118,473.100821634865,474.183784860855,728532.047914927,355140983.440144,cadli,BCH-USD,197948
2025-06-19,460.065033914752,500.934291588595,454.164249311427,497.611848938483,1054030.11584626,505338344.844687,cadli,BCH-USD,282364
2025-06-18,463.102724750177,479.39331411726,457.289122495093,460.065033914752,537877.27835105,251791186.002805,cadli,BCH-USD,190910
2025-06-17,463.85356682365,482.391934974757,457.623628933306,463.102724750177,775369.385370016,364279128.985625,cadli,BCH-USD,161567
2025-06-16,460.564163978862,476.145085375626,452.249455437157,463.85356682365,710283.993459597,329323719.371845,cadli,BCH-USD,166031
2025-06-15,430.951004990673,468.580751112866,430.949367944923,460.564163978862,599589.980228849,271474761.711024,cadli,BCH-USD,300933
2025-06-14,449.08170586625,450.087857016587,422.109025614273,430.951004990673,382872.375134112,167053083.321742,cadli,BCH-USD,226422
2025-06-13,425.871635334483,453.698259007736,399.840404125673,449.08170586625,789101.906615788,332693433.780129,cadli,BCH-USD,110597
2025-06-12,428.915389265035,441.635512401117,424.377863031458,425.871635334483,423956.386224428,182687233.779238,cadli,BCH-USD,123482
2025-06-11,438.006573462244,445.856383825074,422.411195167411,428.915389265035,853156.703104323,374992718.41712,cadli,BCH-USD,110602
2025-06-10,425.203030259541,442.966386029725,418.483711227945,438.006573462244,669912.054750979,287488148.428265,cadli,BCH-USD,96226
2025-06-09,411.344988434048,429.751502563855,411.300359430237,425.203030259541,425481.806939033,178728266.689656,cadli,BCH-USD,119467
2025-06-08,409.53551233834,419.32026345524,406.586387383311,411.344988434048,282686.410881439,116764913.230372,cadli,BCH-USD,186295
2025-06-07,396.218449416664,411.637461926045,394.516082988362,409.53551233834,369146.695388565,149400424.936712,cadli,BCH-USD,172850
2025-06-06,385.817812960698,399.704550030677,381.260781186075,396.218449416664,408578.66075354,159087895.779526,cadli,BCH-USD,106372
2025-06-05,400.851296396181,405.041643282338,379.133359386085,385.817812960698,419540.740318353,165901674.384367,cadli,BCH-USD,108074
2025-06-04,401.223711034769,410.902942080937,397.77041964787,400.851296396181,268033.551948581,108554500.98494,cadli,BCH-USD,109631
2025-06-03,404.087174715561,409.241259878845,400.530414135832,401.223711034769,288581.75622413,116793596.023802,cadli,BCH-USD,104822
2025-06-02,403.632640331216,407.463249196907,397.903007670743,404.087174715561,235029.988964738,94504437.1366968,cadli,BCH-USD,162507
2025-06-01,415.027792006218,415.505471595394,397.357160143768,403.632640331216,234716.691327198,95132334.1788032,cadli,BCH-USD,227856
2025-05-31,399.069701428304,422.912227309637,391.656235370458,415.027792006218,445745.049209261,181464657.533938,cadli,BCH-USD,191793
2025-05-30,410.031602921959,414.674776842333,396.684112586017,399.069701428304,385595.131638931,156504065.94478,cadli,BCH-USD,123534
2025-05-29,424.514417096637,427.904486100928,406.117024966133,410.031602921959,343541.09390922,143486805.040323,cadli,BCH-USD,151180
